name,email,niche,city,country,instagram,website,contactperson,contactrole
CrossFit Willis,justinellis@crossfitwillis.com,hyrox-gym,Willis TX,US,@crossfitwillis,crossfitwillis.com,Justin Ellis,owner
CrossFit Winter Park,info@crossfitwinterpark.com,hyrox-gym,Winter Park FL,US,@crossfitwinterpark,crossfitwinterpark.com,,owner
HCFIT Training Club,info@hcfittrainingclub.com,hyrox-gym,Orlando,US,@hcfittrainingclub,hcfittrainingclub.com,,owner
SUBU CrossFit,info@subucrossfit.com,hyrox-gym,Orlando,US,@subucrossfit,subucrossfit.com,,owner
CrossFit AFN,crossfitafn@gmail.com,hyrox-gym,Orlando,US,@crossfit_afn,crossfitafn.com,,owner
Lion's Den Fitness,contact@cfldfitness.com,hyrox-gym,Orlando,US,,crossfitlionsden.com,,owner
CrossFit Unmatched,cheyenne@cfunmatched.com,hyrox-gym,Mt Dora FL,US,@crossfitunmatched,cfunmatched.com,Cheyenne,owner
CrossFit RA / Rise Athletics,admin@rise-athletics.fit,hyrox-gym,Winter Garden FL,US,@riseathletics_wg,rise-athletics.fit,,owner
South Orlando CrossFit,,hyrox-gym,Orlando,US,@southorlando_cf,southorlandocrossfit.com,,owner
Steel Furnace CrossFit,,hyrox-gym,Orlando,US,@steelfurnacecrossfit,steelfurnacecrossfit.com,,owner
Celebration CrossFit,,hyrox-gym,Kissimmee FL,US,@celebrationcrossfit,celebrationcrossfit.com,,owner
CrossFit Iron Shamrock,,hyrox-gym,Winter Garden FL,US,@cfironshamrock,theshamrockfitness.com,,owner
CrossFit Lockhart,,hyrox-gym,Orlando,US,@crossfitlockhart,crossfitlockhart.com,,owner
Boast Only CrossFit,,hyrox-gym,Groveland FL,US,@boastonlycrossfit,boastonly.com,,owner
CrossFit Sea Dog,info@crossfitseadog.com,hyrox-gym,Jupiter FL,US,@crossfitseadog,crossfitseadog.com,,owner
CrossFit Nullis Terminis,cfnullisterminis@gmail.com,hyrox-gym,Venice FL,US,@crossfitnt,crossfitnullisterminis.com,,owner
CrossFit Lena,felicitycrossfitlena@gmail.com,hyrox-gym,Lakewood Ranch FL,US,@crossfitlena,crossfitlena.com,Felicity,owner
CrossFit Havoc,crossfithavoc@gmail.com,hyrox-gym,Bradenton FL,US,@crossfithavoc,crossfithavoc.com,,owner
CrossFit 941,info@crossfit941.com,hyrox-gym,Bradenton FL,US,@crossfit941,crossfit941.com,,owner
Real Fitness Sarasota,,hyrox-gym,Sarasota FL,US,@realfitnesssarasota,realfitnesssarasota.com,,owner
Seaward CrossFit,,hyrox-gym,Sarasota FL,US,@seawardcrossfit,seawardcrossfit.com,,owner
Megalodon Fitness,,hyrox-gym,Venice FL,US,@crossfitmegalodon,megalodonfitnesscenter.com,,owner
Eternal Strong Gym,dell@eternalstronggym.com,hyrox-gym,Charlotte NC,US,@eternalstronggym,crossfiteternal.com,Dell,owner
Level Fitness,info@levelfitness.net,hyrox-gym,Charlotte NC,US,,levelfitness.net,,owner
Dilworth FIT,info@dilworthfit.com,hyrox-gym,Charlotte NC,US,@dilworth_fit,dilworthfit.com,,owner
Lumber Yard Gym,info@lumberyardgym.com,hyrox-gym,Concord NC,US,@lumberyardgym,lumberyardgym.com,,owner
CrossFit Charlotte,info@crossfitcharlotte.fit,hyrox-gym,Charlotte NC,US,@crossfitcharlotte,crossfitcharlotte.fit,,owner
Live Active CLT / CrossFit Steele Creek,info@liveactiveclt.com,hyrox-gym,Charlotte NC,US,@crossfitsteelecreek,liveactiveclt.com,,owner
CrossFit Cornelius,info@crossfitcornelius.com,hyrox-gym,Cornelius NC,US,@crossfitcornelius,crossfitcornelius.com,,owner
Davidson Strength and Fitness,info@davidsonstrengthandfitness.com,hyrox-gym,Davidson NC,US,@davidsonstrengthandfitness,davidsonstrengthandfitness.com,,owner
Crossfit Mecklenburg,crossfitmecklenburg@gmail.com,hyrox-gym,Charlotte NC,US,,crossfitmecklenburg.com,,owner
CrossFit Allegiance,crossfitallegiance1@gmail.com,hyrox-gym,Denver NC,US,,crossfitallegiance.com,,owner
CrossFit Kaiju,by@crossfitkaiju.com,hyrox-gym,Matthews NC,US,@crossfitkaiju,crossfitkaiju.com,,owner
CrossFit Belmont,crossfitbelmont@gmail.com,hyrox-gym,Belmont NC,US,,crossfitbelmont.com,,owner
Spindle City CrossFit,spindecitycf@gmail.com,hyrox-gym,Gastonia NC,US,@spindlecity_crossfit,spindlecitycrossfit.com,,owner
CrossFit Huntersville,,hyrox-gym,Huntersville NC,US,@crossfithuntersville,crossfithuntersville.com,,owner
CrossFit 926,,hyrox-gym,Huntersville NC,US,@crossfit926,crossfit926.com,,owner
CrossFit Mountain Island,,hyrox-gym,Charlotte NC,US,@crossfitmountainisland,crossfitmountainisland.com,,owner
CrossFit ATP,,hyrox-gym,Charlotte NC,US,@crossfitatp,cfatp.com,,owner
CrossFit Wreckage,,hyrox-gym,Charlotte NC,US,@crossfitwreckage,crossfitwreckage.com,,owner
Ballard CrossFit,support@ballardcrossfit.com,hyrox-gym,Seattle,US,@ballardcrossfit,ballardcrossfit.com,,owner
Orca Strength CrossFit,,hyrox-gym,Seattle,US,@tiltshiftcrossfit,orcastrengthcrossfit.com,,owner
CrossFit 404 / Buckhead,,hyrox-gym,Atlanta,US,@crossfitbuckhead,crossfitbuckhead.com,,owner
Renegade Athletics,,hyrox-gym,Denver CO,US,@renegadeathleticsdnvr,betherenegade.com,,owner
Praetorian CrossFit,praetoriancrossfit@gmail.com,hyrox-gym,Perry GA,US,,praetoriancrossfit.com,,owner
Crown City Fitness,,hyrox-gym,Pasadena CA,US,@crossfitcrowncity,crowncityfitness.com,,owner
Virginia Beach Athletics,,hyrox-gym,Virginia Beach,US,@virginiabeachathletics,virginiabeachathletics.com,,owner
Starke Strength & Conditioning,info@starkestrength.com,hyrox-gym,Winnipeg,CA,,starkestrength.com,,owner
NXT LVL Performance,info@nxtlvlperformance.ca,hyrox-gym,Winnipeg,CA,@nxtlvl.performance,nxtlvlperformance.ca,,owner
Corydon Strength,info@corydonstrength.com,hyrox-gym,Winnipeg,CA,@corydonstrength,corydonstrength.com,,owner
Cha Cha Matcha,hello@chachamatcha.com,matcha-cafe,New York,US,,chachamatcha.com,,HQ — multi-location brand
12 Matcha,info@12matcha.com,matcha-cafe,New York,US,@12.matcha,12matcha.com,,owner — Trends rising +300%
MATCHA HOUSE,contact@matchahousenyc.com,matcha-cafe,New York,US,@matchahouse.nyc,matchahousenyc.com,,owner
Matcha Cafe Maiko NYC,,matcha-cafe,New York,US,@matchastand_maiko,matchacafe-maiko.com,,franchise location
Matcha Cafe Maiko Orlando,info@cafemaikoorl.com,matcha-cafe,Orlando,US,@matchacafemaikoorlando,cafemaikoorl.com,,franchise owner
Rocky's Matcha,,matcha-cafe,Los Angeles,US,@rockysmatcha,rockysmatcha.com,,HQ — Trends Breakout brand
Sudor Sauna Studio,,sauna-studio,Westport CT,US,@sudorsaunastudio,sudorsaunastudio.com,,HQ — Trends Breakout 213K
Aura Sauna Studio,,sauna-studio,New York,US,,aurasaunastudio.com,,owner — Trends +800%
Bangkok Supper Club,,supper-club,New York,US,@bangkoksupperclubnyc,bangkoksupperclub.com,,owner — Trends Breakout
Supper Club on Belcourt,,supper-club,Nashville,US,,supperclubonbelcourt.com,,owner — Trends Breakout
Sari Sari Supper Club,,supper-club,Los Angeles,US,,sarisarisupperclub.com,,owner — Trends Breakout
Bouldering Project (12 US locations),,bouldering-gym,Seattle,US,@boulderingproject,boulderingproject.com,,HQ — chain T3 play
